Person,Job Title,Fees,Contact Info,Address,Recommendation,Gender,Hospital,Email,Experience
Melody Castro,Cardiothoracic Surgeon,"$1,369 ",71-814457,Tripoli,4,Female,General Hospital,melody.castro@gmail.com,13
Emily Forbes,Urologic Surgeon,$636 ,81-149916,Beirut,5,Female,Najjar,emily.forbes@gmail.com,7
Luke Blanchard,Neurosurgeon,$760 ,71-366462,Tripoli,0,Male,General Hospital,luke.blanchard@gmail.com,34
Anna Morrison,Urologic Surgeon,$728 ,81-105525,Tyre,7,Female,General Hospital,anna.morrison@gmail.com,32
Christopher Moore,Plastic Surgeon,$585 ,81-613314,Sidon,5,Male,General Hospital,christopher.moore@gmail.com,8
Katie Anderson,Plastic Surgeon,$975 ,81-421909,Sidon,0,Female,General Hospital,katie.anderson@gmail.com,31
Joanna Austin,Pediatric Surgeon,$893 ,81-541741,Tripoli,0,Female,General Hospital,joanna.austin@gmail.com,9
Katie Stanley,General Surgeon,"$1,375 ",81-306647,Tyre,5,Female,General Hospital,katie.stanley@gmail.com,15
Diana Wright,General Surgeon,$626 ,71-954683,Tyre,7,Female,General Hospital,diana.wright@gmail.com,24
Richard Sanchez,General Surgeon,$313 ,71-126057,Sidon,6,Male,General Hospital,richard.sanchez@gmail.com,21
Erik Robinson,General Surgeon,"$1,047 ",81-481435,Aley,3,Male,Mount Lebanon,erik.robinson@gmail.com,12
Carolyn Smith,Pediatric Surgeon,$615 ,81-239554,Jounieh,2,Female,General Hospital,carolyn.smith@gmail.com,29
Miranda Scott,Orthopedic Surgeon,"$1,466 ",76-613720,Beirut,6,Female,AUBMC,miranda.scott@gmail.com,8
Shannon Butler,Orthopedic Surgeon,$597 ,71-532002,Nabatieh,6,Male,Hammoud Hospital,shannon.butler@gmail.com,32
Laura Shaffer,Oncologic Surgeon,$346 ,76-652804,Jounieh,6,Female,General Hospital,laura.shaffer@gmail.com,10
Marvin Frost,Vascular Surgeon,"$1,210 ",81-357000,Aley,3,Male,Mount Lebanon,marvin.frost@gmail.com,7
Angela Gomez,Vascular Surgeon,$903 ,71-298566,Tyre,4,Female,General Hospital,angela.gomez@gmail.com,16
Jennifer Lane,General Surgeon,"$1,383 ",71-296438,Jounieh,5,Female,General Hospital,jennifer.lane@gmail.com,27
Brian Brown,Cardiothoracic Surgeon,$602 ,81-869240,Beirut,0,Male,AUBMC,brian.brown@gmail.com,32
Donna Mcgee,Pediatric Surgeon,"$1,442 ",81-423880,Tyre,7,Female,General Hospital,donna.mcgee@gmail.com,18
James Hunt,Orthopedic Surgeon,$367 ,71-928851,Beirut,1,Male,Rafic Hariri,james.hunt@gmail.com,9
Bryan Nelson,Plastic Surgeon,"$1,028 ",76-946037,Nabatieh,6,Male,Al Najda,bryan.nelson@gmail.com,22
Laura Moody,General Surgeon,"$1,297 ",81-674874,Tyre,4,Female,General Hospital,laura.moody@gmail.com,31
Jessica Morton,Vascular Surgeon,"$1,314 ",76-530919,Beirut,8,Female,Rafic Hariri,jessica.morton@gmail.com,33
Katherine Douglas,Orthopedic Surgeon,"$1,337 ",81-765690,Tripoli,0,Female,General Hospital,katherine.douglas@gmail.com,24
Mary Carpenter,Orthopedic Surgeon,$373 ,76-533024,Aley,6,Female,Mount Lebanon,mary.carpenter@gmail.com,11
Jeanette Reed,Orthopedic Surgeon,"$1,485 ",81-762129,Byblos,1,Female,Notre Dame de Secours,jeanette.reed@gmail.com,29
Tiffany Martinez,Plastic Surgeon,"$1,455 ",81-551835,Zahle,7,Female,General Hospital,tiffany.martinez@gmail.com,5
Michael Clarke,Vascular Surgeon,"$1,358 ",71-761710,Baalbek,5,Male,Al Zahraa,michael.clarke@gmail.com,4
Rachel Parker,Orthopedic Surgeon,"$1,198 ",81-254828,Sidon,0,Female,General Hospital,rachel.parker@gmail.com,33
Maurice Lewis,Urologic Surgeon,$455 ,81-509931,Byblos,4,Male,Notre Dame de Secours,maurice.lewis@gmail.com,17
Anna Figueroa,General Surgeon,$640 ,76-467902,Tyre,5,Female,General Hospital,anna.figueroa@gmail.com,3
David Mayo,Oncologic Surgeon,$933 ,71-186985,Tyre,4,Male,General Hospital,david.mayo@gmail.com,19
Jessica Gould,General Surgeon,"$1,083 ",71-994109,Jounieh,0,Female,General Hospital,jessica.gould@gmail.com,10
Ronald Parrish,Urologic Surgeon,"$1,009 ",71-227873,Byblos,3,Male,Saint Georges,ronald.parrish@gmail.com,8
Jeffrey Marsh,Plastic Surgeon,$552 ,76-817248,Aley,0,Male,Aley Medical Center,jeffrey.marsh@gmail.com,28
Steven Mitchell,Plastic Surgeon,"$1,136 ",71-751843,Aley,10,Male,Aley Medical Center,steven.mitchell@gmail.com,13
Cynthia Rios,Pediatric Surgeon,$555 ,76-232700,Byblos,5,Female,Saint Georges,cynthia.rios@gmail.com,7
Elizabeth Dixon,Plastic Surgeon,"$1,320 ",76-890180,Zahle,5,Female,General Hospital,elizabeth.dixon@gmail.com,26
Wendy Pierce,Vascular Surgeon,"$1,230 ",71-343462,Nabatieh,7,Female,Hammoud Hospital,wendy.pierce@gmail.com,23
Christina Turner,Pediatric Surgeon,$364 ,71-466504,Tripoli,1,Female,General Hospital,christina.turner@gmail.com,16
Gary Colon,Urologic Surgeon,"$1,149 ",76-319714,Beirut,2,Male,CMC,gary.colon@gmail.com,24
James Burns,Orthopedic Surgeon,"$1,356 ",76-567625,Aley,7,Male,Mount Lebanon,james.burns@gmail.com,17
Michael Jefferson,Oncologic Surgeon,"$1,279 ",81-382440,Zahle,7,Male,General Hospital,michael.jefferson@gmail.com,16
Michael George,Plastic Surgeon,$826 ,76-724333,Nabatieh,8,Male,Hammoud Hospital,michael.george@gmail.com,8
Kim Ortega,Urologic Surgeon,"$1,228 ",76-277765,Zahle,9,Female,General Hospital,kim.ortega@gmail.com,10
Emma Baldwin,Oncologic Surgeon,$488 ,76-130801,Baalbek,4,Female,Al Zahraa,emma.baldwin@gmail.com,23
Jonathan Black,Cardiothoracic Surgeon,"$1,006 ",81-474746,Nabatieh,1,Male,Hammoud Hospital,jonathan.black@gmail.com,27
Ryan Abbott,Plastic Surgeon,$302 ,71-798893,Tripoli,3,Male,General Hospital,ryan.abbott@gmail.com,16
Robin Garcia,Urologic Surgeon,"$1,435 ",76-666982,Sidon,3,Male,General Hospital,robin.garcia@gmail.com,11
Julia Sandoval,Neurosurgeon,$337 ,71-713282,Sidon,9,Female,General Hospital,julia.sandoval@gmail.com,11
Malik Quinn,Urologic Surgeon,"$1,110 ",81-148953,Sidon,10,Male,General Hospital,malik.quinn@gmail.com,5
Gina Black,Orthopedic Surgeon,"$1,353 ",71-842620,Beirut,9,Female,Rafic Hariri,gina.black@gmail.com,25
Deborah Watson,Orthopedic Surgeon,$954 ,81-307541,Jounieh,10,Female,General Hospital,deborah.watson@gmail.com,34
Melissa Sanchez,Pediatric Surgeon,"$1,283 ",71-498833,Tripoli,7,Female,General Hospital,melissa.sanchez@gmail.com,35
Wayne Thomas,Orthopedic Surgeon,$907 ,76-244569,Baalbek,8,Male,Dar El Amal,wayne.thomas@gmail.com,25
Joseph Hammond,Oncologic Surgeon,"$1,458 ",71-998693,Baalbek,2,Male,Al Zahraa,joseph.hammond@gmail.com,15
Brian Thomas,Neurosurgeon,$434 ,76-290570,Sidon,8,Male,General Hospital,brian.thomas@gmail.com,8
Jenna Dudley,General Surgeon,$421 ,81-418676,Tripoli,10,Female,General Hospital,jenna.dudley@gmail.com,20
Michael Skinner,Neurosurgeon,"$1,028 ",71-601474,Aley,7,Male,Mount Lebanon,michael.skinner@gmail.com,18
Katie Williams,Vascular Surgeon,$456 ,71-145108,Jounieh,9,Female,General Hospital,katie.williams@gmail.com,27
Veronica Berger,General Surgeon,$639 ,76-147879,Aley,2,Female,Aley Medical Center,veronica.berger@gmail.com,12
Joseph Hall,Vascular Surgeon,$326 ,76-822218,Jounieh,2,Male,General Hospital,joseph.hall@gmail.com,31
Sara White,Cardiothoracic Surgeon,$841 ,76-519908,Tyre,10,Female,General Hospital,sara.white@gmail.com,21
Linda Day,Urologic Surgeon,"$1,422 ",81-647945,Byblos,7,Female,Notre Dame de Secours,linda.day@gmail.com,30
Timothy Andrews,General Surgeon,"$1,415 ",76-267385,Zahle,4,Male,General Hospital,timothy.andrews@gmail.com,25
Gregory Simpson,Vascular Surgeon,$303 ,76-529014,Sidon,2,Male,General Hospital,gregory.simpson@gmail.com,3
Tracy Nash,Vascular Surgeon,$468 ,76-839725,Tripoli,6,Female,General Hospital,tracy.nash@gmail.com,28
Rebecca Barnes,Pediatric Surgeon,$850 ,81-634516,Zahle,2,Female,General Hospital,rebecca.barnes@gmail.com,33
Eric Norris,General Surgeon,"$1,380 ",81-204919,Nabatieh,3,Male,Al Najda,eric.norris@gmail.com,31
Kyle Castaneda,Neurosurgeon,"$1,292 ",81-309544,Jounieh,1,Male,General Hospital,kyle.castaneda@gmail.com,9
Julia Perry,Orthopedic Surgeon,$590 ,81-658805,Jounieh,1,Female,General Hospital,julia.perry@gmail.com,16
Justin Brown,Urologic Surgeon,$454 ,81-210434,Zahle,2,Male,General Hospital,justin.brown@gmail.com,20
Brenda Harris,Oncologic Surgeon,"$1,015 ",71-591174,Beirut,8,Female,CMC,brenda.harris@gmail.com,10
Matthew Barrera,Oncologic Surgeon,$911 ,81-656841,Sidon,8,Male,General Hospital,matthew.barrera@gmail.com,13
Jeffrey Hill,Orthopedic Surgeon,"$1,312 ",81-948656,Aley,9,Male,Aley Medical Center,jeffrey.hill@gmail.com,28
Margaret Hawkins,General Surgeon,$555 ,81-946435,Tripoli,8,Female,General Hospital,margaret.hawkins@gmail.com,4
Chase Smith,Orthopedic Surgeon,$425 ,71-675637,Tripoli,6,Male,General Hospital,chase.smith@gmail.com,22
Ashley Olson,Vascular Surgeon,$614 ,71-716087,Nabatieh,8,Female,Al Najda,ashley.olson@gmail.com,32
Noah Vincent,Cardiothoracic Surgeon,$587 ,71-126882,Baalbek,0,Male,Dar El Amal,noah.vincent@gmail.com,3
Sarah Wilson,Neurosurgeon,"$1,270 ",71-847413,Baalbek,4,Female,Dar El Amal,sarah.wilson@gmail.com,19
James Carroll,General Surgeon,$858 ,71-808475,Sidon,4,Male,General Hospital,james.carroll@gmail.com,30
Mark Crawford,Orthopedic Surgeon,"$1,137 ",81-786963,Nabatieh,0,Male,Al Najda,mark.crawford@gmail.com,35
Erin Dillon,Cardiothoracic Surgeon,"$1,496 ",71-254664,Tripoli,3,Male,General Hospital,erin.dillon@gmail.com,34
Jamie Hudson,Urologic Surgeon,$812 ,81-568280,Beirut,1,Female,CMC,jamie.hudson@gmail.com,17
Jeremy Gentry,Neurosurgeon,"$1,121 ",81-805507,Baalbek,4,Male,Al Zahraa,jeremy.gentry@gmail.com,29
Gregg Carrillo,Plastic Surgeon,$660 ,71-956667,Tyre,2,Male,General Hospital,gregg.carrillo@gmail.com,35
Miranda Williams,Cardiothoracic Surgeon,$362 ,81-877852,Tyre,2,Female,General Hospital,miranda.williams@gmail.com,32
Catherine Pineda,Vascular Surgeon,$955 ,71-846478,Nabatieh,1,Female,Al Najda,catherine.pineda@gmail.com,15
Rhonda Daniel,General Surgeon,"$1,493 ",71-696280,Zahle,9,Female,General Hospital,rhonda.daniel@gmail.com,29
Ashley Ramsey,Oncologic Surgeon,$553 ,76-271140,Sidon,1,Female,General Hospital,ashley.ramsey@gmail.com,16
Jeremy Beck,Cardiothoracic Surgeon,$825 ,76-659603,Tyre,4,Male,General Hospital,jeremy.beck@gmail.com,12
Robert Wade,Vascular Surgeon,"$1,290 ",71-555360,Beirut,0,Male,Rafic Hariri,robert.wade@gmail.com,14
Sydney Foster,Oncologic Surgeon,"$1,280 ",76-701062,Tripoli,8,Female,General Hospital,sydney.foster@gmail.com,3
Louis Rivera,Neurosurgeon,$338 ,81-470080,Beirut,2,Male,Rafic Hariri,louis.rivera@gmail.com,26
Anthony Wright,Pediatric Surgeon,"$1,348 ",81-636999,Jounieh,0,Male,General Hospital,anthony.wright@gmail.com,24
Kevin Huynh,General Surgeon,$700 ,71-374135,Beirut,4,Male,CMC,kevin.huynh@gmail.com,34
Wendy Schmidt,Urologic Surgeon,$306 ,76-623693,Nabatieh,6,Female,Hammoud Hospital,wendy.schmidt@gmail.com,23
Frederick Meadows,Plastic Surgeon,"$1,428 ",81-439508,Tripoli,9,Male,General Hospital,frederick.meadows@gmail.com,1
Charles Harmon,Neurosurgeon,$714 ,71-541359,Tripoli,4,Male,General Hospital,charles.harmon@gmail.com,12
Leah Hall,Vascular Surgeon,$677 ,71-500863,Tyre,5,Female,General Hospital,leah.hall@gmail.com,34
Alicia Peters,Plastic Surgeon,$477 ,76-104664,Jounieh,5,Female,General Hospital,alicia.peters@gmail.com,32
Brandon Long,Urologic Surgeon,"$1,148 ",81-322966,Sidon,1,Male,General Hospital,brandon.long@gmail.com,5
Julie Daugherty,Neurosurgeon,$687 ,71-691347,Beirut,5,Female,Najjar,julie.daugherty@gmail.com,34
Kevin Davis,General Surgeon,$972 ,76-464011,Zahle,9,Male,General Hospital,kevin.davis@gmail.com,2
Cheryl Williams,General Surgeon,$696 ,76-678656,Byblos,7,Female,Notre Dame de Secours,cheryl.williams@gmail.com,14
Nathan Hanson,Pediatric Surgeon,$719 ,81-941521,Tyre,2,Male,General Hospital,nathan.hanson@gmail.com,12
Taylor Castaneda,Neurosurgeon,$497 ,81-573134,Jounieh,9,Male,General Hospital,taylor.castaneda@gmail.com,2
Shane Rojas,Pediatric Surgeon,$663 ,76-113505,Jounieh,0,Male,General Hospital,shane.rojas@gmail.com,4
Joshua Chandler,Neurosurgeon,"$1,171 ",71-790337,Baalbek,1,Male,Al Zahraa,joshua.chandler@gmail.com,6
Amber Ramirez,Neurosurgeon,$939 ,71-406426,Jounieh,10,Female,General Hospital,amber.ramirez@gmail.com,15
Timothy Phillips,Oncologic Surgeon,"$1,390 ",76-714847,Nabatieh,0,Male,Al Najda,timothy.phillips@gmail.com,34
Amanda Thomas,Urologic Surgeon,"$1,336 ",81-366241,Sidon,2,Female,General Hospital,amanda.thomas@gmail.com,4
Rose Stone,Urologic Surgeon,"$1,267 ",71-824147,Tripoli,3,Female,General Hospital,rose.stone@gmail.com,27
Nicholas Drake,Plastic Surgeon,"$1,345 ",81-533124,Beirut,3,Male,Rafic Hariri,nicholas.drake@gmail.com,35
Anne Willis,Urologic Surgeon,$383 ,76-519602,Aley,9,Female,Mount Lebanon,anne.willis@gmail.com,33
Katrina Graham,Neurosurgeon,"$1,068 ",71-827198,Byblos,4,Female,Saint Georges,katrina.graham@gmail.com,20
Tami Hill,Vascular Surgeon,$677 ,71-827817,Tyre,10,Male,General Hospital,tami.hill@gmail.com,11
Angela Allen,Plastic Surgeon,$425 ,76-717078,Nabatieh,1,Female,Hammoud Hospital,angela.allen@gmail.com,13
Karen Johnson,Pediatric Surgeon,$497 ,81-236414,Tyre,5,Female,General Hospital,karen.johnson@gmail.com,8
Charles Richardson,Oncologic Surgeon,"$1,448 ",81-294248,Zahle,2,Male,General Hospital,charles.richardson@gmail.com,14
Alicia Pratt,Oncologic Surgeon,$621 ,81-686585,Sidon,9,Female,General Hospital,alicia.pratt@gmail.com,27
Ann Davis,Cardiothoracic Surgeon,$806 ,81-999018,Zahle,0,Female,General Hospital,ann.davis@gmail.com,35
Jennifer Davis,Urologic Surgeon,$974 ,71-313566,Beirut,9,Female,Najjar,jennifer.davis@gmail.com,25
Cory Rice,Vascular Surgeon,"$1,206 ",81-401328,Zahle,0,Male,General Hospital,cory.rice@gmail.com,24
Jacob Alexander,Urologic Surgeon,"$1,060 ",76-163642,Baalbek,2,Male,Al Zahraa,jacob.alexander@gmail.com,3
Devin Reynolds,Orthopedic Surgeon,$986 ,76-405040,Beirut,10,Male,Najjar,devin.reynolds@gmail.com,9
Richard Singh,General Surgeon,"$1,465 ",81-602455,Sidon,3,Male,General Hospital,richard.singh@gmail.com,16
Dana Davidson,Plastic Surgeon,$711 ,81-564476,Baalbek,4,Female,Dar El Amal,dana.davidson@gmail.com,26
Wanda Banks,Orthopedic Surgeon,$848 ,81-216904,Byblos,2,Female,Saint Georges,wanda.banks@gmail.com,33
Michael Martin,Plastic Surgeon,$427 ,76-432402,Baalbek,6,Male,Al Zahraa,michael.martin@gmail.com,12
Jeffrey Perez,Neurosurgeon,$858 ,81-882176,Sidon,4,Male,General Hospital,jeffrey.perez@gmail.com,23
Kimberly Thomas,General Surgeon,$600 ,71-559457,Tyre,10,Female,General Hospital,kimberly.thomas@gmail.com,8
Carrie Brown,Orthopedic Surgeon,$844 ,76-980006,Byblos,2,Male,Notre Dame de Secours,carrie.brown@gmail.com,34
Teresa Mitchell,Oncologic Surgeon,"$1,103 ",81-427577,Tyre,4,Female,General Hospital,teresa.mitchell@gmail.com,34
Zachary Frank,Orthopedic Surgeon,$378 ,71-167771,Beirut,9,Male,Rafic Hariri,zachary.frank@gmail.com,27
Abigail Swanson,Plastic Surgeon,$404 ,71-274391,Jounieh,3,Male,General Hospital,abigail.swanson@gmail.com,2
Eric Ellis,Pediatric Surgeon,$938 ,81-425310,Sidon,3,Male,General Hospital,eric.ellis@gmail.com,8
Michael Hawkins,Neurosurgeon,$606 ,71-543195,Baalbek,0,Male,Al Zahraa,michael.hawkins@gmail.com,35
Matthew Hernandez,Vascular Surgeon,"$1,241 ",81-228654,Beirut,4,Male,AUBMC,matthew.hernandez@gmail.com,15
Brandon Hansen,Neurosurgeon,"$1,150 ",76-966075,Zahle,1,Male,General Hospital,brandon.hansen@gmail.com,27
Samantha Butler,Plastic Surgeon,$639 ,76-389679,Jounieh,1,Female,General Hospital,samantha.butler@gmail.com,7
Angela Robertson,Neurosurgeon,"$1,376 ",81-462461,Baalbek,8,Female,Al Zahraa,angela.robertson@gmail.com,26
Maria Burton,Orthopedic Surgeon,"$1,205 ",71-510048,Tyre,9,Female,General Hospital,maria.burton@gmail.com,35
Sierra Petersen,Oncologic Surgeon,"$1,372 ",81-832259,Tyre,0,Female,General Hospital,sierra.petersen@gmail.com,3
Veronica Rogers,Plastic Surgeon,$466 ,81-968520,Tyre,5,Female,General Hospital,veronica.rogers@gmail.com,9
Philip Saunders,Vascular Surgeon,$756 ,71-509396,Nabatieh,10,Male,Al Najda,philip.saunders@gmail.com,26
Amy Tapia,Urologic Surgeon,$662 ,76-651188,Zahle,2,Female,General Hospital,amy.tapia@gmail.com,9
Julie Hardy,General Surgeon,"$1,414 ",81-504033,Jounieh,9,Female,General Hospital,julie.hardy@gmail.com,5
Victoria Perez,Cardiothoracic Surgeon,$579 ,81-451255,Tyre,4,Female,General Hospital,victoria.perez@gmail.com,35
Andrew Hammond,General Surgeon,$322 ,81-181458,Aley,4,Male,Aley Medical Center,andrew.hammond@gmail.com,7
James Kline,General Surgeon,"$1,017 ",71-213441,Zahle,1,Male,General Hospital,james.kline@gmail.com,22
Sarah Houston,General Surgeon,"$1,436 ",76-475750,Tyre,6,Female,General Hospital,sarah.houston@gmail.com,31
Debbie Dudley,Neurosurgeon,"$1,490 ",71-613610,Nabatieh,0,Female,Al Najda,debbie.dudley@gmail.com,34
Alan Espinoza,Pediatric Surgeon,$735 ,76-677418,Beirut,3,Male,CMC,alan.espinoza@gmail.com,26
David Mooney,Neurosurgeon,$723 ,71-477299,Baalbek,5,Male,Dar El Amal,david.mooney@gmail.com,8
Samantha James,Urologic Surgeon,"$1,180 ",81-373166,Byblos,1,Female,Notre Dame de Secours,samantha.james@gmail.com,26
Christine Reese,Cardiothoracic Surgeon,$639 ,71-882769,Tyre,1,Female,General Hospital,christine.reese@gmail.com,12
Kelly Owens,Oncologic Surgeon,$846 ,81-334251,Byblos,8,Female,Notre Dame de Secours,kelly.owens@gmail.com,32
Andrew Diaz,Urologic Surgeon,$760 ,71-150964,Baalbek,6,Male,Dar El Amal,andrew.diaz@gmail.com,15
Patrick Robinson,Cardiothoracic Surgeon,$639 ,76-646814,Tyre,4,Male,General Hospital,patrick.robinson@gmail.com,23
Marcus Maddox,Orthopedic Surgeon,"$1,415 ",76-564811,Aley,1,Male,Aley Medical Center,marcus.maddox@gmail.com,7
Mary Mitchell,General Surgeon,$671 ,76-879294,Aley,2,Female,Aley Medical Center,mary.mitchell@gmail.com,32
Tracy Cook,General Surgeon,"$1,240 ",71-829970,Jounieh,2,Female,General Hospital,tracy.cook@gmail.com,14
Regina Garcia,Urologic Surgeon,"$1,119 ",81-699887,Zahle,4,Female,General Hospital,regina.garcia@gmail.com,5
Richard Morris,Vascular Surgeon,$401 ,71-174717,Tripoli,5,Male,General Hospital,richard.morris@gmail.com,15
Tabitha Hawkins,Oncologic Surgeon,"$1,443 ",71-333859,Byblos,9,Female,Saint Georges,tabitha.hawkins@gmail.com,16
David Walton,Plastic Surgeon,"$1,131 ",81-500475,Zahle,10,Male,General Hospital,david.walton@gmail.com,19
Daniel Brown,Urologic Surgeon,"$1,139 ",71-718396,Aley,0,Male,Aley Medical Center,daniel.brown@gmail.com,34
Sydney Ramos,Oncologic Surgeon,$748 ,71-424757,Beirut,2,Female,Rafic Hariri,sydney.ramos@gmail.com,10
Joseph Harris,Plastic Surgeon,"$1,386 ",76-208651,Zahle,1,Male,General Hospital,joseph.harris@gmail.com,15
Emily Hebert,General Surgeon,"$1,104 ",76-487028,Zahle,10,Female,General Hospital,emily.hebert@gmail.com,3
Kim Robinson,General Surgeon,$813 ,81-341079,Byblos,2,Female,Saint Georges,kim.robinson@gmail.com,24
Anthony Hernandez,Oncologic Surgeon,$850 ,76-236358,Zahle,0,Male,General Hospital,anthony.hernandez@gmail.com,13
Miguel Romero,Cardiothoracic Surgeon,"$1,416 ",71-825202,Beirut,2,Male,Rafic Hariri,miguel.romero@gmail.com,28
Paul Thomas,Urologic Surgeon,$499 ,71-732662,Aley,8,Male,Mount Lebanon,paul.thomas@gmail.com,17
Carrie Jones,Urologic Surgeon,"$1,359 ",71-518573,Baalbek,8,Male,Dar El Amal,carrie.jones@gmail.com,10
Daniel Davis,Cardiothoracic Surgeon,$940 ,81-224374,Baalbek,6,Male,Dar El Amal,daniel.davis@gmail.com,5
Michael Cantu,Vascular Surgeon,"$1,398 ",76-359797,Nabatieh,1,Male,Al Najda,michael.cantu@gmail.com,7
Sergio Hill,Oncologic Surgeon,$922 ,71-647574,Jounieh,6,Male,General Hospital,sergio.hill@gmail.com,1
Alexander Perez,Plastic Surgeon,"$1,092 ",81-430313,Byblos,0,Male,Notre Dame de Secours,alexander.perez@gmail.com,27
Jordan Valencia,Vascular Surgeon,"$1,117 ",71-477347,Zahle,4,Male,General Hospital,jordan.valencia@gmail.com,27
Laura Barnett,Pediatric Surgeon,"$1,298 ",81-775499,Tripoli,2,Female,General Hospital,laura.barnett@gmail.com,31
Deanna Walker,Urologic Surgeon,$595 ,71-592508,Tripoli,8,Female,General Hospital,deanna.walker@gmail.com,17
Christian Wilkinson,Vascular Surgeon,"$1,182 ",76-446677,Zahle,7,Male,General Hospital,christian.wilkinson@gmail.com,13
Rebecca Oliver,Orthopedic Surgeon,$571 ,76-230665,Tripoli,0,Female,General Hospital,rebecca.oliver@gmail.com,26
Robert Hill,Urologic Surgeon,"$1,146 ",76-970388,Aley,1,Male,Mount Lebanon,robert.hill@gmail.com,31
Rachel Anderson,Neurosurgeon,$755 ,81-456207,Nabatieh,0,Female,Al Najda,rachel.anderson@gmail.com,11
Kimberly Webster,General Surgeon,$665 ,81-606291,Sidon,0,Female,General Hospital,kimberly.webster@gmail.com,32
Ryan Brown,General Surgeon,$884 ,81-997248,Beirut,1,Male,AUBMC,ryan.brown@gmail.com,16
Lynn Anderson,Plastic Surgeon,$470 ,76-967281,Baalbek,6,Female,Al Zahraa,lynn.anderson@gmail.com,25
Sara Hill,General Surgeon,$525 ,71-502900,Zahle,9,Female,General Hospital,sara.hill@gmail.com,25
Lisa Hodge,General Surgeon,$704 ,76-562376,Nabatieh,1,Female,Al Najda,lisa.hodge@gmail.com,31
Tim Maldonado,Oncologic Surgeon,$718 ,76-298804,Byblos,9,Male,Saint Georges,tim.maldonado@gmail.com,27
Paige Garcia,Urologic Surgeon,"$1,076 ",81-453162,Zahle,6,Male,General Hospital,paige.garcia@gmail.com,27
Diane Barry,Cardiothoracic Surgeon,"$1,302 ",71-449579,Aley,8,Male,Aley Medical Center,diane.barry@gmail.com,6
Rebecca Ford,Pediatric Surgeon,$983 ,81-665938,Zahle,3,Female,General Hospital,rebecca.ford@gmail.com,30
Lance Bernard,General Surgeon,$492 ,76-180071,Baalbek,1,Male,Dar El Amal,lance.bernard@gmail.com,27
Danielle Haley,Oncologic Surgeon,$852 ,76-351767,Byblos,1,Male,Notre Dame de Secours,danielle.haley@gmail.com,27
Stuart Goodman,Plastic Surgeon,"$1,486 ",81-639222,Tripoli,0,Male,General Hospital,stuart.goodman@gmail.com,5
Amanda Ford,Vascular Surgeon,$386 ,71-963771,Byblos,0,Female,Saint Georges,amanda.ford@gmail.com,31
Joseph Duncan,Orthopedic Surgeon,$565 ,76-860630,Tyre,9,Male,General Hospital,joseph.duncan@gmail.com,20
Ricky Davis,Urologic Surgeon,$794 ,71-102725,Jounieh,5,Male,General Hospital,ricky.davis@gmail.com,33
Kevin Pierce,Cardiothoracic Surgeon,$691 ,81-153107,Baalbek,1,Male,Dar El Amal,kevin.pierce@gmail.com,28
Heather Taylor,Neurosurgeon,$336 ,81-598172,Jounieh,2,Female,General Hospital,heather.taylor@gmail.com,5
Gerald Brown,Urologic Surgeon,"$1,474 ",76-846653,Zahle,9,Male,General Hospital,gerald.brown@gmail.com,34
Joanna Garcia,Pediatric Surgeon,$430 ,76-215361,Tyre,1,Female,General Hospital,joanna.garcia@gmail.com,28
Brian Hall,Cardiothoracic Surgeon,$511 ,71-990771,Nabatieh,2,Male,Al Najda,brian.hall@gmail.com,23
Lisa Gonzalez,Cardiothoracic Surgeon,$632 ,71-353721,Nabatieh,7,Female,Hammoud Hospital,lisa.gonzalez@gmail.com,35
Tiffany Reed,General Surgeon,"$1,045 ",81-167568,Tyre,3,Female,General Hospital,tiffany.reed@gmail.com,25
Jason Knox,Vascular Surgeon,$943 ,71-233950,Tyre,2,Male,General Hospital,jason.knox@gmail.com,19
Caitlin Aguilar,Vascular Surgeon,$500 ,76-623554,Zahle,1,Female,General Hospital,caitlin.aguilar@gmail.com,4
Jessica Wade,General Surgeon,$667 ,81-515449,Byblos,5,Female,Notre Dame de Secours,jessica.wade@gmail.com,18
Ricky Williams,Orthopedic Surgeon,"$1,500 ",76-548948,Zahle,6,Male,General Hospital,ricky.williams@gmail.com,4
Tina Henderson,Plastic Surgeon,$422 ,81-824090,Sidon,4,Female,General Hospital,tina.henderson@gmail.com,2
Collin Daniel,Pediatric Surgeon,"$1,285 ",71-188954,Byblos,3,Male,Saint Georges,collin.daniel@gmail.com,1
Heidi Thomas,Pediatric Surgeon,$760 ,71-818245,Aley,7,Female,Mount Lebanon,heidi.thomas@gmail.com,2
Jeffrey Sanchez,Pediatric Surgeon,$736 ,81-405513,Nabatieh,8,Male,Al Najda,jeffrey.sanchez@gmail.com,22
Leslie Wilkerson,Cardiothoracic Surgeon,"$1,190 ",81-706904,Tripoli,5,Male,General Hospital,leslie.wilkerson@gmail.com,21
Katherine Soto,Vascular Surgeon,"$1,495 ",76-785688,Baalbek,10,Female,Al Zahraa,katherine.soto@gmail.com,10
Ryan Bass,Urologic Surgeon,"$1,412 ",76-328925,Aley,4,Male,Mount Lebanon,ryan.bass@gmail.com,17
Rachel Maxwell,Orthopedic Surgeon,$759 ,76-645922,Baalbek,5,Female,Dar El Amal,rachel.maxwell@gmail.com,14
Joseph Marshall,Pediatric Surgeon,"$1,009 ",71-199102,Tripoli,10,Male,General Hospital,joseph.marshall@gmail.com,17
